ISS.UTCGregorian           ISS.EarthMJ2000Eq.X       ISS.EarthMJ2000Eq.Y       ISS.EarthMJ2000Eq.Z       debris.UTCGregorian        debris.EarthMJ2000Eq.X    debris.EarthMJ2000Eq.Y    debris.EarthMJ2000Eq.Z    debris2.UTCGregorian       debris2.EarthMJ2000Eq.X   debris2.EarthMJ2000Eq.Y   debris2.EarthMJ2000Eq.Z   
29 Nov 2024 00:34:28.448   -4085.369654931837        -1385.772732927979        5245.264839325146         29 Nov 2024 00:34:28.448   -5940.511169255269        894.0821666934105         6096.994981692139         29 Nov 2024 00:34:28.448   -7991.605381433499        495.086463720367          6428.72753740025          
29 Nov 2024 00:35:59.990   -3738.076200996137        -1991.298413589924        5308.080724758918         29 Nov 2024 00:35:59.990   -5787.791771372757        391.9069463005112         6354.858022005151         29 Nov 2024 00:35:59.990   -7991.515270861874        -8.006864099717355        6771.514413577814         
29 Nov 2024 00:37:31.524   -3351.097603351564        -2575.61629219631         5314.333806028633         29 Nov 2024 00:37:31.524   -5604.793862363453        -112.2832518002905        6579.386057641873         29 Nov 2024 00:37:31.524   -7968.21297209109         -511.0486149240211        7094.589697144088         
29 Nov 2024 00:39:03.046   -2928.562073000405        -3132.497114451453        5263.960024109342         29 Nov 2024 00:39:03.046   -5392.893482662814        -615.8379825383299        6769.876926874274         29 Nov 2024 00:39:03.046   -7923.090685772378        -1012.642510305981        7398.181767863185         
29 Nov 2024 00:40:34.555   -2474.975273031497        -3656.009319241284        5157.50272806523          29 Nov 2024 00:40:34.555   -5153.525805039219        -1116.180375680556        6925.760979790454         29 Nov 2024 00:40:34.555   -7857.491579648255        -1511.554145095481        7682.587863457785         
29 Nov 2024 00:42:06.047   -1995.169905923353        -4140.582775459227        4996.104718162193         29 Nov 2024 00:42:06.047   -4888.179791583353        -1610.804325660305        7046.59243543697          29 Nov 2024 00:42:06.047   -7772.70346351896         -2006.696959310357        7948.159130673471         
29 Nov 2024 00:43:37.520   -1494.267131036383        -4581.055292704086        4781.500509206427         29 Nov 2024 00:43:37.520   -4598.402976765729        -2097.256823750123        7132.039610356079         29 Nov 2024 00:43:37.520   -7669.957909569718        -2497.10425422139         8195.280786965548         
29 Nov 2024 00:45:08.971   -977.6070694002999        -4972.744174240178        4515.993804027153         29 Nov 2024 00:45:08.971   -4285.792283465727        -2573.149512846815        7181.884270339403         29 Nov 2024 00:45:08.971   -7550.426443682324        -2981.93130627448         8424.370315961016         
29 Nov 2024 00:46:40.400   -450.6883284436676        -5311.495301586911        4202.428550493312         29 Nov 2024 00:46:40.400   -3951.991040575763        -3036.155932579798        7196.015780558784         29 Nov 2024 00:46:40.400   -7415.218814037429        -3460.444451208341        8635.868547654794         
29 Nov 2024 00:48:11.804   80.87678762837757         -5593.716778179539        3844.16552679387          29 Nov 2024 00:48:11.804   -3598.698210419204        -3483.994437985953        7174.427001454619         29 Nov 2024 00:48:11.804   -7265.387047054718        -3931.996229925622        8830.226148436079         
